Item;Ratings
B0000037K8;2
B0000037LC;3
B0000037LJ;1
B0000038K9;1
B0000038KN;3
B0000038KU;1
B0000038KY;2
B0000038L8;2
B0000039XV;1
B0000039Y4;6
B000003A4S;2
B000003B9T;1
B000003BAT;3
B000003BAZ;1
B000003BB3;3
B000003BBO;2
B000003BBT;2
B000003BCB;1
B000003BLU;1
B000003CAL;5
B000003CAU;1
B000003CG4;2
B000003CYI;2
B000003D08;2
B000003D1U;3
B000003D26;2
B000003D9I;2
B000003DFX;2
B000003DSA;1
B000003DVR;2
B000003E6B;1
B000003E95;8
B000003EPP;1
B000003ES0;1
B000003F4J;14
B000003FG2;4
B000003FOS;3
B000003GEE;1
B000003GI5;1
B000003GIF;1
B000003GIN;4
B000003GJH;1
B000003GJK;3
B000003GJO;2
B000003H9D;4
B000003HAL;1
B000003IBY;4
B000003IYN;2
B000003IZH;1
B000003J00;1
B000003J05;3
B000003J3H;4
B000003J9W;3
B000003JPK;1
B000003JPP;2
B000003JPV;3
B000003JSF;6
B000003L1B;3
B000003LAE;5
B000003LIC;3
B000003LJ8;1
B000003LJG;3
B000003LK0;1
B000003LK4;3
B000003LL2;1
B000003LLE;2
B000003LY7;1
B000003M6S;1
B000003NM3;1
B000003NPV;1
B000003OAN;2
B000003OBB;4
B000003ON3;3
B000003ONK;2
B000003OPT;2
B000003OZC;4
B000003QJ4;2
B000003QV7;4
B000003S7K;2
B000003SNA;1
B000003ST0;3
B000003TK8;5
B000003TKH;2
B000003TKL;2
B000003TQE;3
B000003UO5;1
B000003UUW;1
B000003UXS;3
B000003W3C;2
B000003XHT;11
B000003XO4;1
B000003XOD;1
B000003Y2V;3
B000003Y6D;1
B000003Y6F;1
B000003Y6I;1
B000003Z0O;1
B000003ZAH;1
B000003ZCD;3
B000003ZU5;2
B000003ZZ2;1
B00000402U;1
B00000403H;2
B000004189;2
B000004197;2
B0000041CY;5
B0000041DM;1
B0000041LB;3
B0000042QC;1
B00000442Y;2
B000004430;1
B000004439;1
B00000443Y;1
B00000445W;1
B000004469;1
B00000446G;1
B0000044CY;2
B0000044LP;1
B0000044MV;2
B0000044N0;2
B0000044N1;4
B0000044TV;6
B0000044V7;1
B0000044W3;1
B0000044WM;5
B0000044X5;1
B0000044XF;1
B00000451S;4
B00000452N;2
B000004536;1
B000004540;1
B0000045TQ;2
B0000045VA;5
B00000463O;1
B00000465V;1
B00000465Y;1
B0000046T8;2
B00000475S;1
B0000047SJ;1
B00000485H;2
B00000488E;3
B0000049KH;1
B0000049LT;2
B0000049MF;1
B0000049NM;1
B0000049OF;1
B0000049OY;3
B0000049P7;1
B0000049Q4;1
B0000049QQ;1
B0000049QR;3
B0000049RJ;1
B0000049VX;1
B0000049XD;2
B000004A2R;1
B000004A3K;1
B000004A3N;1
B000004AGL;1
B000004AGO;1
B000004BE7;1
B000004BFW;1
B000004BHD;1
B000004BHP;1
B000004BI4;1
B000004BKX;1
B000004BNF;7
B000004CKR;1
B000004CRG;1
B0000057F6;6
B0000057MU;2
B0000057SV;2
B0000057SZ;1
B0000057TD;1
B0000057WA;1
B0000057WN;1
B0000057XA;5
B0000057XN;2
B0000057XZ;1
B0000057YJ;1
B0000057ZX;1
B0000058HD;3
B0000058QO;2
B0000058R9;4
B0000058RD;1
B0000058UZ;6
B00000590D;1
B00000590Z;2
B000005911;3
B00000597R;2
B00000598K;5
B0000059EH;1
B0000059KY;1
B0000059UV;4
B000005A8B;1
B000005ANZ;1
B000005AOR;1
B000005AQ0;1
B000005AQ3;2
B000005AQC;1
B000005AQD;1
B000005AQI;1
B000005AQX;1
B000005ARF;2
B000005B7O;2
B000005BA4;2
B000005BIB;1
B000005BIT;2
B000005BIU;5
B000005BY3;1
B000005CMU;1
B000005CVA;1
B000005D6S;1
B000005DAJ;3
B000005E3O;2
B000005E86;6
B000005E8X;1
B000005FLD;1
B000005FNI;3
B000005FPC;1
B000005FZS;7
B000005FZV;1
B000005G3I;3
B000005G3R;4
B000005G3V;4
B000005G3Y;2
B000005GGA;4
B000005H9K;3
B000005HN8;10
B000005ICG;3
B000005IMU;1
B000005L4I;1
B000005LJW;1
B000005LP2;2
B000005M3P;1
B000005MJZ;1
B000005MYP;1
B000005MZ3;2
B000005OMF;43
B000005OQH;6
B000005R0O;1
B000005R15;1
B000005R7O;2
B000005RD0;1
B000005REP;1
B000005SFL;1
B000005T3D;1
B000005VTQ;2
B000005VXH;1
B000005VY1;2
B000005WWL;1
B000005WWN;1
B000005WWQ;2
B000005X0E;2
B000005XDM;1
B000005YXR;3
B000005Z6P;3
B000005Z6W;1
B000005Z6Y;1
B000005Z8M;4
B000005ZB3;4
B000005ZB8;2
B000005ZGA;1
B000006000;7
B00000604R;1
B0000060C2;2
B0000060H1;2
B0000060H2;1
B0000060ZQ;20
B00000614Y;3
B00000617U;1
B00000618D;1
B0000061JK;3
B0000061JS;1
B0000063DF;1
B0000063G0;1
B0000063GO;2
B0000064B2;3
B0000064P6;2
B0000064ZP;1
B0000069GK;1
B0000069H4;2
B000006A7Q;1
B000006ARK;1
B000006AXT;1
B000006B8N;4
B000006BFR;2
B000006CBZ;4
B000006H5U;2
B000006J5M;9
B000006J8Q;1
B000006J99;1
B000006JHT;1
B000006KNO;3
B000006NBM;3
B000006NGF;1
B000006NLE;1
B000006NLL;1
B000006NSS;1
B000006OGV;1
B000006OJO;4
B000006OSI;1
B000006OTV;1
B000006OXR;1
B000006PCT;1
B000006SAC;3
B000006SCR;3
B000006SME;6
B000006SOL;5
B000006SPQ;3
B000006T7Z;2
B000006U8S;10
B000006UHB;4
B000006UOH;1
B000006XMN;7
B000006XR9;10
B000006YL8;1
B000006ZBB;2
B000006ZYL;1
B0000070CV;2
B0000070OQ;5
B0000070OT;3
B0000070YG;9
B00000714S;2
B0000071IH;4
B000007219;1
B00000721Q;4
B0000072Q3;3
B0000072WV;3
B00000738Z;5
B0000073EV;2
B0000073F2;2
B0000073FA;2
B0000073K0;12
B0000073MN;2
B0000073QF;1
B00000742X;4
B0000074IG;2
B0000074R1;5
B0000074YY;2
B00000756M;2
B0000075J4;1
B0000075J5;2
B0000075J6;1
B00000769M;1
B0000076HL;3
B000007N32;2
B000007NEC;3
B000007NEG;4
B000007NEY;5
B000007NMD;1
B000007NQ7;3
B000007NUM;18
B000007NUV;1
B000007O1I;1
B000007O6Z;1
B000007O8Q;1
B000007OLS;1
B000007P3G;2
B000007QB4;1
B000007RZS;3
B000007S3U;2
B000007SS5;2
B000007TOH;1
B000007TOJ;5
B000007TS1;1
B000007TS2;1
B000007TT3;9
B000007V6Y;2
B000007W07;1
B000007W6R;1
B000007WA0;6
B000007WAF;2
B000007WBI;4
B000007WDR;6
B000007WI8;1
B000007WT8;4
B000007WXR;1
B000007XK8;1
B000007YI7;1
B000007YT5;1
B000007ZF8;8
B00000824Z;2
B00000838U;5
B0000083NX;1
B00000842P;2
B0000084G8;6
B0000084IX;1
B000008528;1
B000008572;6
B0000085CM;5
B0000085R8;1
B0000085V6;3
B00000862T;1
B00000868L;1
B0000086IZ;1
B000008752;1
B000008768;2
B0000087RC;1
B00000885R;2
B0000088CZ;4
B000008970;1
B0000089EZ;1
B0000089U3;3
B000008B6E;2
B000008B9S;2
B000008BQ8;3
B000008C0Z;1
B000008C5B;1
B000008FKM;1
B000008IBX;19
B000008IY7;3
B000008K63;2
B000008LRC;1
B000008N69;2
B000008O3N;2
B000008O9R;1
B000008QLH;2
B000008QWV;2
B000008S1L;1
B000008SAK;1
B000008SNH;1
B000008T0E;3
B000008T59;2
B000008T78;1
B000008TI8;6
B000008TW2;1
B000008TW9;2
B000008U8T;3
B000008UC6;1
B000009CJF;2
B000009COZ;1
B000009CX7;1
B000009E0S;1
B000009IFY;1
B000009J6P;1
B000009JHH;1
B000009JM1;1
B000009KFK;1
B000009KNC;1
B000009KSK;1
B000009LCF;1
B000009LIB;1
B000009LYT;1
B000009NNO;2
B000009NOR;2
B000009NWT;3
B000009OIE;2
B000009OLA;2
B000009OLW;2
B000009OMA;15
B000009OMG;1
B000009OQN;1
B000009OUA;7
B000009PTF;1
B000009Q3G;4
B000009QB3;2
B000009QBZ;1
B000009RMT;1
B000009RUS;1
B000009TPP;1
B000009UCM;2
B000009V0X;1
B000009XAN;2
B00000A33A;1
B00000A37R;3
B00000ADGU;3
B00000AE5Q;2
B00000AE6A;1
B00000AENM;1
B00000AENN;8
B00000AEWG;1
B00000AF6E;13
B00000AFBG;2
B00000AFH7;2
B00000AFKQ;1
B00000AFRV;1
B00000AFTP;3
B00000AFUF;1
B00000AG73;6
B00000AGB0;1
B00000AGEU;1
B00000AGFY;1
B00000AGK8;6
B00000AGL2;1
B00000AGMM;2
B00000AQPZ;1
B00000ARA5;7
B00000ARL6;1
B00000ATH1;2
B00000AUNE;2
B00000AW0Z;3
B00000AWWS;1
B00000B00J;1
B00000B177;1
B00000B2BW;2
B00000B34M;1
B00000B3B1;1
B00000B3L8;1
B00000B4LJ;2
B00000B4OW;11
B00000B5XX;1
B00000B67I;2
B00000B6AJ;1
B00000B7BE;1
B00000B908;1
B00000B9FY;1
B00000BICA;1
B00000BIHM;3
B00000BIM5;2
B00000BKIM;7
B00000C27Y;5
B00000C2H9;1
B00000C2KM;17
B00000C2NJ;2
B00000C3IC;1
B00000C3K9;1
B00000C3R1;1
B00000C3UI;1
B00000C3WT;2
B00000C3YD;1
B00000DAIP;1
B00000DAJ3;4
B00000DAKT;1
B00000DB6K;6
B00000DBH1;1
B00000DBJX;1
B00000DBMI;3
B00000DBTD;1
B00000DC1L;1
B00000DC54;1
B00000DC5A;2
B00000DC5O;2
B00000DCI8;1
B00000DCIK;2
B00000DCR7;1
B00000DD41;1
B00000DD59;2
B00000DD6U;1
B00000DD7B;1
B00000DDLF;1
B00000DDLN;11
B00000DDMJ;2
B00000DDML;2
B00000DFF8;1
B00000DFFI;1
B00000DFFK;1
B00000DFIZ;3
B00000DFJC;2
B00000DFMH;3
B00000DG0O;1
B00000DG1H;2
B00000DG2H;2
B00000DGSW;46
B00000DH46;1
B00000DHSG;1
B00000DHTA;4
B00000DHTU;1
B00000DHTX;1
B00000DLY9;1
B00000DMGH;6
B00000DMJX;1
B00000DMK6;1
B00000DMKG;2
B00000DNKE;3
B00000DNXC;3
B00000DODN;1
B00000DPSP;1
B00000DTEC;3
B00000DWWU;1
B00000E0PQ;1
B00000E2QI;8
B00000E32X;2
B00000E32Y;4
B00000E3HL;2
B00000E3YZ;3
B00000E42X;6
B00000E47I;2
B00000E4ER;1
B00000E4ET;2
B00000E4HF;2
B00000E6M5;1
B00000E87Z;2
B00000F1S3;1
B00000FCHW;1
B00000FCJD;1
B00000FCKA;3
B00000FDBR;2
B00000FDCZ;3
B00000FDIC;1
B00000FY07;2
B00000FY12;4
B00000G15Y;1
B00000G19Z;1
B00000G3UN;2
B00000G3UP;2
B00000G3WP;1
B00000G4NC;2
B00000G4OH;4
B00000G507;1
B00000G5G5;7
B00000G5GG;1
B00000G5I2;2
B00000G7KF;3
B00000G7KN;1
B00000G7KO;1
B00000G7L9;2
B00000G7NA;1
B00000G8ZX;1
B00000G9AP;1
B00000GAX6;4
B00000GB13;1
B00000GBLL;3
B00000GBO4;3
B00000GC0R;2
B00000GV6H;1
B00000GVYU;1
B00000GWZP;1
B00000GX0U;16
B00000HF4O;5
B00000HX5I;2
B00000HX5N;4
B00000HXJ3;1
B00000HXNO;1
B00000HYAN;1
B00000HYT5;4
B00000HYW2;1
B00000HZA0;1
B00000HZF2;3
B00000HZIQ;4
B00000I038;44
B00000I0CU;2
B00000I0DV;2
B00000I0HU;3
B00000I0RR;2
B00000I0WT;3
B00000I15K;1
B00000I2BQ;4
B00000I2C1;1
B00000I2KX;4
B00000I2MF;1
B00000I376;1
B00000I38Y;1
B00000I3DQ;1
B00000I3YS;14
B00000I4LJ;1
B00000I4ZK;2
B00000I52H;2
B00000I58A;2
B00000I5DS;1
B00000I5XB;1
B00000I6E1;1
B00000I6IU;4
B00000I6LF;1
B00000I752;1
B00000I76P;1
B00000I7QK;6
B00000I7R4;2
B00000I8FJ;4
B00000I8PK;5
B00000I8WI;4
B00000I8Y9;2
B00000I8ZK;1
B00000I94G;5
B00000I99Q;1
B00000I9EL;1
B00000I9GI;2
B00000I9MA;1
B00000I9US;7
B00000I9WQ;4
B00000IAFS;1
B00000IAK9;1
B00000IAKU;1
B00000IBFH;1
B00000IBGQ;2
B00000IFN5;4
B00000IFN9;2
B00000IGNL;2
B00000IGV4;7
B00000IGX1;1
B00000IH8X;4
B00000II19;2
B00000IJGC;2
B00000IJIX;1
B00000IJNZ;9
B00000IJSL;2
B00000IKMV;2
B00000IKNR;4
B00000IKSI;1
B00000IKSN;3
B00000IKUG;4
B00000IKUK;1
B00000IKUT;1
B00000IL10;3
B00000IL6A;2
B00000IM6R;1
B00000IM88;2
B00000IMFX;3
B00000IMHX;1
B00000IMI4;1
B00000IMQF;2
B00000IMR4;3
B00000IMR6;1
B00000IMRJ;2
B00000IMZ3;1
B00000INNV;3
B00000INVO;1
B00000INXW;5
B00000IOAU;4
B00000IP6I;1
B00000IP87;3
B00000IPTF;3
B00000IPTT;2
B00000IQHV;2
B00000IQHY;1
B00000IQK5;1
B00000IQMZ;1
B00000IRYV;4
B00000IS02;40
B00000IS7G;7
B00000IWN8;1
B00000IWND;2
B00000IWT4;1
B00000IX89;6
B00000IXHP;1
B00000IXIV;1
B00000IXIX;2
B00000IXIY;3
B00000IXVS;1
B00000IXWN;1
B00000IY5V;3
B00000IYI6;14
B00000IYMW;2
B00000IYO4;2
B00000IYOK;1
B00000J21H;2
B00000J27B;1
B00000J27H;2
B00000J27P;1
B00000J28D;3
B00000J2X2;3
B00000J5UP;2
B00000J5W4;3
B00000J74U;1
B00000J7DR;1
B00000J80B;4
B00000J80H;1
B00000J8GD;1
B00000J8K5;2
B00000J8KB;5
B00000J8QO;1
B00000J8R7;3
B00000J8XJ;4
B00000J8XV;2
B00000J8XW;3
B00000J8ZB;1
B00000JA0K;2
B00000JACR;1
B00000JARA;5
B00000JATG;2
B00000JB40;1
B00000JC8G;3
B00000JCBR;1
B00000JCG5;4
B00000JCRF;3
B00000JCUJ;1
B00000JCVS;1
B00000JD1R;2
B00000JF6O;1
B00000JFZ0;1
B00000JGXB;1
B00000JH1V;1
B00000JHC5;6
B00000JHCA;1
B00000JHLS;2
B00000JIOZ;2
B00000JIRU;2
B00000JIUY;4
B00000JIYO;1
B00000JJ2K;1
B00000JJ2L;3
B00000JJQ1;2
B00000JKHO;1
B00000JLFX;4
